DOI,TITLE,PMCID
10.7759/cureus.7708,A Review of Salivary Diagnostics and Its Potential Implication in Detection of Covid-19.,PMC7164701
10.7759/cureus.7422,Gastrointestinal Infection Could Be New Focus for Coronavirus Diagnosis.,PMC7186097
10.7759/cureus.7355,"Coronavirus (COVID-19): A Review of Clinical Features, Diagnosis, and Treatment.",PMC7170025
10.7326/m20-1301,Diagnostic Testing for Severe Acute Respiratory Syndrome-Related Coronavirus 2: A Narrative Review.,PMC7170415
10.7326/m20-0533,Histopathologic Changes and SARS-CoV-2 Immunostaining in the Lung of a Patient With COVID-19.,PMC7081173
10.7189/jogh.10.010340,Ophthalmic manifestations of novel coronaviruses: precautionary measures and diagnostic possibilities.,PMC7179981
10.6061/clinics/2020/e1894,COVID-19 Diagnostic and Management Protocol for Pediatric Patients.,PMC7153362
10.5811/westjem.2020.1.46120,Scabies: Application of the Novel Identify-Isolate-Inform Tool for Detection and Management.,PMC7081864
10.5152/tud.2020.20119,"What do urologists need to know: Diagnosis, treatment, and follow-up during COVID-19 pandemic.",PMC7219975
10.4155/tde-2020-0035,"COVID-19 pandemic: an overview of epidemiology, pathogenesis, diagnostics and potential vaccines and therapeutics.",PMC7222554
10.3390/v12020211,Current Trends in Diagnostics of Viral Infections of Unknown Etiology.,PMC7077230
10.3390/mi11030306,2019 Novel Coronavirus Disease (COVID-19): Paving the Road for Rapid Detection and Point-of-Care Diagnostics.,PMC7142866
10.3390/jcm9030623,"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review.",PMC7141113
10.3390/diagnostics10040202,In Vitro Diagnostic Assays for COVID-19: Recent Advances and Emerging Trends.,PMC7235801
10.3390/diagnostics10030165,Point-of-Care RNA-Based Diagnostic Device for COVID-19.,PMC7151043
10.31616/asj.2020.0122,Advice on Standardized Diagnosis and Treatment for Spinal Diseases during the Coronavirus Disease 2019 Pandemic.,PMC7113464
10.2807/1560-7917.es.2020.25.16.2000421,"Serological assays for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), March 2020.",PMC7189648
10.2217/nnm-2020-0117,"Application of nanomaterials in treatment, anti-infection and detection of coronaviruses.",PMC7373208
10.2196/19054,"Detection of SARS-CoV-2 RNA and Antibodies in Diverse Samples: Protocol to Validate the Sufficiency of Provider-Observed, Home-Collected Blood, Saliva, and Oropharyngeal Samples.",PMC7184968
10.1515/cclm-2020-0443,Analytical performances of a chemiluminescence immunoassay for SARS-CoV-2 IgM/IgG and antibody kinetics.,
10.14309/ajg.0000000000000667,SARS-CoV-2 Gastrointestinal Infection Causing Hemorrhagic Colitis: Implications for Detection and Transmission of COVID-19 Disease.,PMC7172485
10.12688/aasopenres.13061.1,COVID-19: Are Africa's diagnostic challenges blunting response effectiveness?,PMC7205356
10.1186/s12890-020-1170-6,CT differential diagnosis of COVID-19 and non-COVID-19 in symptomatic suspects: a practical scoring method.,PMC7203713
10.1177/0846537120913033,CT Imaging and Differential Diagnosis of COVID-19.,PMC7140975
