Title,DOI,Abstract
Spike protein in the detection and treatment of novel coronavirus,10.7507/1001-5515.202002050,"最近，一种由新型冠状病毒 2019-nCoV 引起的 COVID-19 肺炎疫情在全球暴发。为了更好地控制疫情的蔓延，亟需对 2019-nCoV 的来源、传播和致病机制进行深入研究。刺突（spike）蛋白是冠状病毒表面特有的结构蛋白，包含了冠状病毒自然演化的重要信息，并在病毒识别和入侵人体细胞的过程中起到关键作用。最近十几年，在对与人类密切相关的冠状病毒的研究中，spike 蛋白一直是最为重要的研究对象之一。而在 COVID-19 肺炎疫情暴发后，2019-nCoV 病毒表面的 spike 蛋白也迅速成为研究的焦点。本文旨在通过介绍 spike 蛋白相关研究，以期为当前疫情的防控以及 COVID-19 的诊断和治疗提供合理的研究思路。.Recently a COVID-19 pneumonia pandemic caused by a novel coronavirus 2019-nCoV has broken out over the world. In order to better control the spread of the pandemic, there's an urgent need to extensively study the virus' origin and the mechanisms for its infectivity and pathogenicity. Spike protein is a special structural protein on the surface of coronavirus. It contains important information about the evolution of the virus and plays critical roles in the processes of cellular recognition and entry. In the past decades, spike protein has always been one of the most important objects in research works on coronaviruses closely related to human life. In this review we introduce these research works related to spike proteins, hoping it will provide reasonable ideas for the control of the current pandemic, as well as for the diagnosis and treatment of COVID-19."
COVID-19 diagnostic approaches: different roads to the same destination,10.1007/s13337-020-00599-7,"“SARS-CoV2”, a previously unknown strain of coronaviruses caused a severe respiratory disease called Coronavirus disease (COVID-19) which emerged from Wuhan city of China on 30 December 2019, and declared as Global health problem by World Health Organisation within a month. In less than two and half months (11 March, 2020) it was declared as a pandemic disease due to its rapid spreading ability, it covered more than 211 countries infecting around 1.7 million persons and claiming around 1.1 lakhs lives within merely 100 days of its emergence. Containment of the infection of this virus is the only available measure to control the disease as no vaccine or specific antiviral treatment is available. Confirmed detection of the virus followed by isolation of the infected person at the earliest possible is the only measure to prevent this disease. Although there are number of methods available for detection of virus and to combat this disease in the present pandemic situation, but these available diagnostic methods have their own limitations. The speedy and exponential global spread of this disease strongly urges the fast and economic diagnostics tools. Additional to the available diagnostic methods, there is a sudden surge for development of various of methods and platforms to diagnose the COVID-19. The review summarized the advantage and disadvantage of various diagnostic approaches being used presently for COVID-19, newer detection methods in developmental stage and the feasibility of advanced platforms like newer nano-sensor based on-the-spot detection technologies. © 2020, Indian Virological Society."
Skin Involvement in SARS-CoV-2 Infection: Case Series,10.1002/jmv.26012,"since the beginning of the well-known SARS CoV-2 pandemic, skin involvement both in adults and children has been signaled (1,2). However, large-scale studies describing skin manifestations and their etiopathogenic correlation with COVID-19 in detail have not been reported yet. Through the analysis of emerging data from literature (3) and the direct observation of three patients with COVID-19 (SARS-CoV-2 detection from nasopharyngeal swab samples through RNA extraction) and dermatological manifestations, we have hypothesized different mechanisms for their development. This article is protected by copyright. All rights reserved. This article is protected by copyright. All rights reserved."
Impact of Corona Virus Disease-19 (COVID-19) pandemic on gastrointestinal disorders,10.1007/s12664-020-01071-6,"Worldwide, several hospitals in different regions and countries have been affected with Corona Virus Disease-19 (COVID-19). All medical specialties including gastroenterology are impacted by COVID-19. Here, we review the bidirectional comorbidity of chronic gastrointestinal (GI) disorders and COVID-19, including the incidence and outcome of COVID-19 in individuals with various GI disorders and the impact of COVID-19 on the course and outcome of the underlying (or comorbid) GI disorders. Currently, there is no evidence that COVID-19 is more (or less) frequent in comorbid GI disorders. It is also reassuring that the outcome of COVID-19 is unaffected by the underlying GI disorder or its treatment, though potential concerns remain in regard to the use of immunomodulatory treatments in inflammatory bowel disease (IBD) and liver transplant recipients. Despite these concerns, there is now agreement among experts that ongoing immunomodulatory treatments may not be interrupted in individuals with IBD during the COVID-19 pandemic. Caution, however, may be exercised with the use of corticosteroids in the management of IBD. In addition, COVID-19 does not appear to impact the manifestations, course, outcome, and treatment of comorbid GI disorders, e.g. IBD. Decompensation of liver cirrhosis is, however, possible during COVID-19 episodes. A direct concern, however, might relate to the potential transmission of the virus through fecal microbiota transplants. © 2020, Indian Society of Gastroenterology."
Modeling and forecasting the covid-19 temporal spread in Greece: An exploratory approach based on complex network defined splines,10.3390/ijerph17134693,"Within the complex framework of anti-COVID-19 health management, where the criteria of diagnostic testing, the availability of public-health resources and services, and the applied anti-COVID-19 policies vary between countries, the reliability and accuracy in the modeling of temporal spread can prove to be effective in the worldwide fight against the disease. This paper applies an exploratory time-series analysis to the evolution of the disease in Greece, which currently suggests a success story of COVID-19 management. The proposed method builds on a recent conceptualization of detecting connective communities in a time-series and develops a novel spline regression model where the knot vector is determined by the community detection in the complex network. Overall, the study contributes to the COVID-19 research by proposing a free of disconnected past-data and reliable framework of forecasting, which can facilitate decision-making and management of the available health resources. © 2020 by the authors. Licensee MDPI, Basel, Switzerland."
CovidSens: a vision on reliable social sensing for COVID-19,10.1007/s10462-020-09852-3,"With the spiraling pandemic of the Coronavirus Disease 2019 (COVID-19), it has becoming inherently important to disseminate accurate and timely information about the disease. Due to the ubiquity of Internet connectivity and smart devices, social sensing is emerging as a dynamic AI-driven sensing paradigm to extract real-time observations from online users. In this paper, we propose CovidSens, a vision of social sensing-based risk alert systems to spontaneously obtain and analyze social data to infer the state of the COVID-19 propagation. CovidSens can actively help to keep the general public informed about the COVID-19 spread and identify risk-prone areas by inferring future propagation patterns. The CovidSens concept is motivated by three observations: (1) people have been actively sharing their state of health and experience of the COVID-19 via online social media, (2) official warning channels and news agencies are relatively slower than people reporting their observations and experiences about COVID-19 on social media, and (3) online users are frequently equipped with substantially capable mobile devices that are able to perform non-trivial on-device computation for data processing and analytics. We envision an unprecedented opportunity to leverage the posts generated by the ordinary people to build a real-time sensing and analytic system for gathering and circulating vital information of the COVID-19 propagation. Specifically, the vision of CovidSens attempts to answer the questions: How to distill reliable information about the COVID-19 with the coexistence of prevailing rumors and misinformation in the social media? How to inform the general public about the latest state of the spread timely and effectively, and alert them to remain prepared? How to leverage the computational power on the edge devices (e.g., smartphones, IoT devices, UAVs) to construct fully integrated edge-based social sensing platforms for rapid detection of the COVID-19 spread? In this vision paper, we discuss the roles of CovidSens and identify the potential challenges in developing reliable social sensing-based risk alert systems. We envision that approaches originating from multiple disciplines (e.g., AI, estimation theory, machine learning, constrained optimization) can be effective in addressing the challenges. Finally, we outline a few research directions for future work in CovidSens. © 2020, Springer Nature B.V."
CovXNet: A multi-dilation convolutional neural network for automatic COVID-19 and other pneumonia detection from chest X-ray images with transferable multi-receptive feature optimization,10.1016/j.compbiomed.2020.103869,"With the recent outbreak of COVID-19, fast diagnostic testing has become one of the major challenges due to the critical shortage of test kit. Pneumonia, a major effect of COVID-19, needs to be urgently diagnosed along with its underlying reasons. In this paper, deep learning aided automated COVID-19 and other pneumonia detection schemes are proposed utilizing a small amount of COVID-19 chest X-rays. A deep convolutional neural network (CNN) based architecture, named as CovXNet, is proposed that utilizes depthwise convolution with varying dilation rates for efficiently extracting diversified features from chest X-rays. Since the chest X-ray images corresponding to COVID-19 caused pneumonia and other traditional pneumonias have significant similarities, at first, a large number of chest X-rays corresponding to normal and (viral/bacterial) pneumonia patients are used to train the proposed CovXNet. Learning of this initial training phase is transferred with some additional fine-tuning layers that are further trained with a smaller number of chest X-rays corresponding to COVID-19 and other pneumonia patients. In the proposed method, different forms of CovXNets are designed and trained with X-ray images of various resolutions and for further optimization of their predictions, a stacking algorithm is employed. Finally, a gradient-based discriminative localization is integrated to distinguish the abnormal regions of X-ray images referring to different types of pneumonia. Extensive experimentations using two different datasets provide very satisfactory detection performance with accuracy of 97.4% for COVID/Normal, 96.9% for COVID/Viral pneumonia, 94.7% for COVID/Bacterial pneumonia, and 90.2% for multiclass COVID/normal/Viral/Bacterial pneumonias. Hence, the proposed schemes can serve as an efficient tool in the current state of COVID-19 pandemic. All the architectures are made publicly available at: https://github.com/Perceptron21/CovXNet. © 2020 Elsevier Ltd"
Earliest cases of coronavirus disease 2019 (COVID-19) identified in solid organ transplant recipients in the United States,10.1111/ajt.15944,"With the rapidly expanding pandemic of SARS-CoV-2, there is concern that solid organ transplant recipients will be particularly vulnerable to infection and may experience a more severe clinical course. We report four cases of COVID-19 in solid organ transplant recipients including recipients of kidney, liver, lung, and heart transplants. We describe each patient's medical history including transplantation history, their clinical presentation and workup, and their course from diagnosis to either hospital discharge or to improvement in symptoms. These reports demonstrate a range of symptoms, clinical severity, and disease course in solid organ transplant recipients with COVID-19, including two hospitalized patients and two patients managed entirely in the outpatient setting. © 2020 The American Society of Transplantation and the American Society of Transplant Surgeons"
Evaluation of rapid diagnosis of novel coronavirus disease (COVID-19) using loop-mediated isothermal amplification,10.1016/j.jcv.2020.104446,"With the rapid spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), there is an urgent need for more rapid and simple detection technologies at the forefront of medical care worldwide. In this study, we evaluated the effectiveness of the Loopamp® 2019-SARSCoV-2 Detection Reagent Kit, which uses loop-mediated isothermal amplification (LAMP) technology. In this protocol, cDNA is synthesized from SARS-CoV-2 RNA using reverse transcriptase, followed by DNA amplification under isothermal conditions in one step. The RT-LAMP test kit amplified the targeted RNA of a SARS-CoV-2 isolate with a detection limit of 1.0 × 101 copies/μL, which was comparable to the detection sensitivity of quantitative reverse transcription PCR (RT-qPCR). Comparison with the results of RT-qPCR for 76 nasopharyngeal swab samples from patients with suspected COVID-19 showed a sensitivity of 100 % and a specificity of 97.6 %. In the 24 RNA specimens derived from febrile Japanese patients with or without influenza A, no amplification was observed using RT-LAMP. RT-LAMP could be a simple and easy-to-use diagnostic tool for the detection of SARS-CoV-2. © 2020 Elsevier B.V."
Development of a TaqMan-probe-based multiplex real-time PCR for the simultaneous detection of emerging and reemerging swine coronaviruses,10.1080/21505594.2020.1771980,"With the outbreak of the recent severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in 2019, coronaviruses have become a global research hotspot in the field of virology. Coronaviruses mainly cause respiratory and digestive tract diseases, several coronaviruses are responsible for porcine diarrhea, such as porcine epidemic diarrhea virus (PEDV), porcine deltacoronavirus (PDCoV), and emerging swine acute diarrhea syndrome coronavirus (SADS-CoV). Those viruses have caused huge economic losses and are considered as potential public health threats. Porcine torovirus (PToV) and coronaviruses, sharing similar genomic structure and replication strategy, belong to the same order Nidovirales. Here, we developed a multiplex TaqMan-probe-based real-time PCR for the simultaneous detection of PEDV, PDCoV, PToV, and SADS-CoV for the first time. Specific primers and TaqMan fluorescent probes were designed targeting the ORF1a region of PDEV, PToV, and SADS-CoV and the ORF1b region of PDCoV. The method showed high sensitivity and specificity, with a detection limit of 1 × 102 copies/μL for each pathogen. A total of 101 clinical swine samples with signs of diarrhea were analyzed using this method, and the result showed good consistency with conventional reverse transcription PCR (RT-PCR). This method improves the efficiency for surveillance of these emerging and reemerging swine enteric viruses and can help reduce economic losses to the pig industry, which also benefits animal and public health. © 2020, © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group."
