"Moulahoum H., Ghorbanizamani F., Zihnioglu F., Turhan K., Timur S.","57188963997;57199103659;6602258835;8429335700;6701638388;","How should diagnostic kits development adapt quickly in COVID 19-like pandemic models? Pros and cons of sensory platforms used in COVID-19 sensing",2021,"Talanta","222",, 121534,"","",,,"10.1016/j.talanta.2020.121534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089373920&doi=10.1016%2fj.talanta.2020.121534&partnerID=40&md5=dbc961bccf4b6087791cc09322f8e408","As COVID-19 has reached pandemic status and the number of cases continues to grow, widespread availability of diagnostic testing is critical in helping identify and control the emergence of this rapidly spreading and serious illness. However, a lacking in making a quick reaction to the threat and starting early development of diagnostic sensing tools has had an important impact globally. In this regard, here we will review critically the current developed diagnostic tools in response to the COVID-19 pandemic and compare the different types through the discussion of their pros and cons such as nucleic acid detection tests (including PCR and CRISPR), antibody and protein-based diagnosis tests. In addition, potential technologies that are under development such as on-site diagnosis platforms, lateral flow, and portable PCR units are discussed. Data collection and epidemiological analysis could also be an interesting factor to incorporate with the emerging technologies especially with the wide access to smartphones. Lastly, a SWOT analysis and perspectives on how the development of novel sensory platforms should be treated by the different decision-makers are analyzed. © 2020 Elsevier B.V.","COVID-19; Diagnostic kits; Response strategies; SARS-CoV-2; Sensors/biosensors","Chemical detection; Decision making; Polymerase chain reaction; Data collection; Decision makers; Diagnostic testing; Diagnostic tools; Emerging technologies; Nucleic acid detection; On-site diagnosis; Potential technologies; Sensory analysis",,"Talanta",Review,"Final",,Scopus,2-s2.0-85089373920
"Poh C.M., Carissimo G., Wang B., Amrun S.N., Lee C.Y.-P., Chee R.S.-L., Fong S.-W., Yeo N.K.-W., Lee W.-H., Torres-Ruesta A., Leo Y.-S., Chen M.I.-C., Tan S.-Y., Chai L.Y.A., Kalimuddin S., Kheng S.S.G., Thien S.-Y., Young B.E., Lye D.C., Hanson B.J., Wang C.-I., Renia L., Ng L.F.P.","54380645000;56481525900;57217035785;57191777077;57207257661;57216930239;57202267570;55510991300;57217034156;57205610211;7004240142;57209815423;57215585628;9843821500;35484514100;57217030705;57191159187;50462822400;14016391200;7102036361;38662103600;7006343526;7201477950;","Two linear epitopes on the SARS-CoV-2 spike protein that elicit neutralising antibodies in COVID-19 patients",2020,"Nature Communications","11","1", 2806,"","",,5,"10.1038/s41467-020-16638-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085874948&doi=10.1038%2fs41467-020-16638-2&partnerID=40&md5=fa73f83e1ef836eaf10cb286a7f900d1","Given the ongoing SARS-CoV-2 pandemic, identification of immunogenic targets against the coronavirus spike glycoprotein will provide crucial advances towards the development of sensitive diagnostic tools and potential vaccine candidate targets. In this study, using pools of overlapping linear B-cell peptides, we report two IgG immunodominant regions on SARS-CoV-2 spike glycoprotein that are recognised by sera from COVID-19 convalescent patients. Notably, one is specific to SARS-CoV-2, which is located in close proximity to the receptor binding domain. The other region, which is localised at the fusion peptide, could potentially function as a pan-SARS target. Functionally, antibody depletion assays demonstrate that antibodies targeting these immunodominant regions significantly alter virus neutralisation capacities. Taken together, identification and validation of these neutralising B-cell epitopes will provide insights towards the design of diagnostics and vaccine candidates against this high priority coronavirus. © 2020, The Author(s).",,"epitope; glycoprotein; glycoprotein S; immunoglobulin G; neutralizing antibody; unclassified drug; virus spike protein; coronavirus spike glycoprotein; epitope; immunoglobulin G; neutralizing antibody; spike protein, SARS-CoV-2; virus antibody; antibody; bioassay; cell; chemical binding; design; immune system; peptide; protein; vaccine; viral disease; virus; antibody titer; Article; binding affinity; bioinformatics; clinical article; controlled study; convalescence; coronavirus disease 2019; enzyme linked immunosorbent assay; HEK293T cell line; human; human cell; IC50; Lentivirus; luciferase assay; peptide library; receptor binding; Severe acute respiratory syndrome coronavirus 2; vaccination; virus neutralization; amino acid sequence; Betacoronavirus; blood; chemistry; Coronavirus infection; immunology; pandemic; virus pneumonia; Coronavirus; SARS coronavirus; Amino Acid Sequence; Antibodies, Neutralizing; Antibodies, Viral; Betacoronavirus; Coronavirus Infections; Epitopes, B-Lymphocyte; Humans; Immunodominant Epitopes; Immunoglobulin G; Pandemics; Pneumonia, Viral; Spike Glycoprotein, Coronavirus","32483236","Nat. Commun.",Article,"Final",Open Access,Scopus,2-s2.0-85085874948
"Nuccetelli M., Pieri M., Grelli S., Ciotti M., Miano R., Andreoni M., Bernardini S.","6601973679;7005983088;6701796741;7005743246;57192324296;57202559649;7006441194;","SARS-CoV-2 infection serology: a useful tool to overcome lockdown?",2020,"Cell Death Discovery","6","1", 38,"","",,2,"10.1038/s41420-020-0275-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085530102&doi=10.1038%2fs41420-020-0275-2&partnerID=40&md5=5d946ce35b82f2c717317313db442a1b","The outbreak of 2019 novel coronavirus disease (Covid-19) caused by SARS-CoV-2 has spread rapidly, inducing a progressive growth in infected patients number. Social isolation (lockdown) has been assessed to prevent and control virus diffusion, leading to a worldwide financial and political crisis. Currently, SARS-CoV-2 RNA detection in nasopharyngeal swab takes place by real-time PCR (RT-qPCR). However, molecular tests can give some false-negative results. In this context, serological assays can be useful to detect IgG/IgM antibodies, to assess the degree of immunization, to trace the contacts, and to support the decision to re-admit people at work. A lot of serological diagnostic kits have been proposed on the market but validation studies have not been published for many of them. The aim of our work was to compare and to evaluate different assays analytical performances (two different immunochromatographic cards, an immunofluorescence chromatographic card, and a chemiluminescence-automated immunoassay) on 43 positive samples with RT-qPCR-confirmed SARS-CoV-2 infection and 40 negative control subjects. Our data display excellent IgG/IgM specificities for all the immunocromatographic card tests (100% IgG and 100% IgM) and for the chemiluminescence-automated assay (100% IgG and 94% IgM); IgG/IgM sensitivities are moderately lower for all methods, probably due to the assay viral antigen’s nature and/or to the detection time of nasopharyngeal swab RT-qPCR, with respect to symptoms onset. Given that sensitivities (around 94% and 84% for IgG and IgM, respectively) implicate false-negative cases and given the lack of effective vaccines or treatments, the only currently available procedure to reduce SARS-CoV-2 transmission is to identify and isolate persons who are contagious. For this reason, we would like to submit a flowchart in which serological tests, integrated with nasopharyngeal swab RT-qPCR, are included to help social and work activities implementation after the pandemic acute phase and to overcome lockdown. © 2020, The Author(s).",,,,"Cell Death Discov.",Article,"Final",Open Access,Scopus,2-s2.0-85085530102
"Sharquie I.K.","8967982300;","BCG is a good immunotherapeutic agent for viral and autoimmune diseases: Is it a new weapon against coronavirus (COVID-19)?",2020,"Electronic Journal of General Medicine","17","6", em229,"","",,1,"10.29333/ejgm/7892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583169&doi=10.29333%2fejgm%2f7892&partnerID=40&md5=419f328c47a793519642d00d4dd03d03","Now nearly a century old, the Bacillus Calmette-Guérin (BCG) vaccine is used routinely in humans for the prophylaxis of tuberculosis and to clear up leprosy. As the immune response to the vaccine shows some degree of cross-antigenicity, the vaccine also affects a level of resistance to a range of unrelated diseases and pathogens. Clinical studies data have shown that the BCG vaccine has effects on autoimmune and inflammatory diseases. Although the vaccine does not possess any inherent antiviral activity, it engages in the host immune system such that many types of viral infections are considerably reduced. Hence, we expect that the frequency and severity of many microbial diseases, including COVID-19, will be lower in counties in which mass BCG vaccination programs are implemented. So the BCG vaccine may prove useful in the coming months especially in countries where already have mass BCG vaccination, as the COVID-19 pandemic has placed an unprecedented strain on health services across the world. Currently, countless front-line healthcare staff is in immediate danger of exposure to the SARS-CoV-2 virus. Furthermore, as oral zinc sulfate as immunomodulator has proved an effective means to treat various viral diseases (including viral warts and herpes), parasitic infections, and diseases with autoimmune reactions such as Behcet’s disease and recurrent aphthous stomatitis, it could be employed in combination with the BCG vaccine to enhance the immunological functions of patients with COVID-19. So BCG immunotherapy combined with oral zinc sulfate will be encouraging protective programs in societies where coronavirus is going to spread. © 2020 by Author/s and Licensed by Modestum Ltd., UK.","BCG; Coronavirus; COVID-19; Zinc sulfate","BCG vaccine; corticosteroid; immunomodulating agent; zinc; zinc sulfate; antiviral activity; aphthous stomatitis; arthralgia; Article; autoimmune disease; BCG vaccination; bladder carcinoma; CD8+ T lymphocyte; coronavirus disease 2019; diagnostic test; disease severity; fever; herpes simplex keratitis; human; immune response; immunosuppressive treatment; inflammation; inflammatory bowel disease; leprosy; multiple sclerosis; Mycobacterium bovis BCG; Mycobacterium tuberculosis; sepsis; Severe acute respiratory syndrome coronavirus 2; skin leishmaniasis; tuberculosis",,"Electro. J. Gen. Med.",Article,"Final",Open Access,Scopus,2-s2.0-85085583169
"Ballesteros A., Blasco A., Gutierrez-Sagredo I.","7103053957;24921308100;57192910880;","Hamiltonian structure of compartmental epidemiological models",2020,"Physica D: Nonlinear Phenomena","413",, 132656,"","",,,"10.1016/j.physd.2020.132656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088750955&doi=10.1016%2fj.physd.2020.132656&partnerID=40&md5=fce0e15a15074b58e712aa35a2fd5ef3","Any epidemiological compartmental model with constant population is shown to be a Hamiltonian dynamical system in which the total population plays the role of the Hamiltonian function. Moreover, some particular cases within this large class of models are shown to be bi-Hamiltonian. New interacting compartmental models among different populations, which are endowed with a Hamiltonian structure, are introduced. The Poisson structures underlying the Hamiltonian description of all these dynamical systems are explicitly presented, and their associated Casimir functions are shown to provide an efficient tool in order to find exact analytical solutions for epidemiological models, such as the ones describing the dynamics of the COVID-19 pandemic. © 2020 Elsevier B.V.","Casimir functions; Compartmental models; Dynamical systems; Epidemics; Hamiltonian systems; Poisson structures","Dynamical systems; Casimir functions; Compartmental model; Epidemiological models; Exact analytical solutions; Hamiltonian dynamical systems; Hamiltonian structures; Poisson structure; Hamiltonians",,"Phys D Nonlinear Phenom",Article,"Final",Open Access,Scopus,2-s2.0-85088750955
"Haselmann V., Kittel M., Gerhards C., Thiaucourt M., Eichner R., Costina V., Neumaier M.","55970455700;57195722275;57217828729;57196053338;55015001000;6504670091;7006926074;","Comparison of test performance of commercial anti-SARS-CoV-2 immunoassays in serum and plasma samples",2020,"Clinica Chimica Acta","510",,,"73","78",,,"10.1016/j.cca.2020.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087899824&doi=10.1016%2fj.cca.2020.07.007&partnerID=40&md5=215b82e518c38e671ca0e63a8c18863f","Background: For epidemiologic, social and economic reasons, assessment of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection prevalence and immunity are important to adapt decisions to current demands. Hence, immunoassays for detection of anti-SARS-CoV-2 antibodies are introduced rapidly without requiring FDA emergency use authorization approval. Thus, evaluation of test performance predominantly relies on laboratories. This study aimed to evaluate the test performance of recently launched commercial immunoassays in serum and plasma samples. Methods: 51 serum samples from 26 patients with confirmed SARS-CoV-2 infection after end of quarantine and 25 control patients were analyzed using anti-SARS-CoV-2 IgG immunoassays from Roche, Euroimmun and Epitope to assess diagnostic sensitivity and specificity. 20 matching pairs of serum and plasma samples were included to analyze comparability between different specimens. Results: Overall, a diagnostic sensitivity of 92.3%, 96.2–100% and 100% with a respective diagnostic specificity of 100%, 100% and 84–86% for the immunoassays from Roche, Euroimmun and Epitope were determined. In total, 84–96% of samples were correctly classified as negative and 92.3–95.2% as positive. The level of concordance between plasma- and serum-based testing diverged between the assays (Epitope r2 = 0.97; Euroimmun r2 = 0.91; Roche r2 = 0.76). Conclusions: The immunoassays from Euroimmun and Roche revealed a higher specificity than the Epitope assay without a substantial drop of diagnostic sensitivity. Significant differences between plasma- and serum-based testing highlights the need for determination of appropriate cut-offs per specimen type. Hence, there is an urgent need for test harmonization and establishment of quality standards for an appropriate use of COVID-19 serological tests. © 2020","Anti-SARS-CoV-2; COVID-19; Immunoassay; Method comparison; Roche; Serologic assay","immunoglobulin G; virus antibody; adult; aged; Article; blood sampling; clinical article; controlled study; coronavirus disease 2019; diagnostic test accuracy study; disease classification; enzyme linked immunosorbent assay; female; Food and Drug Administration; human; immunoassay; male; priority journal; quarantine; sensitivity and specificity; Severe acute respiratory syndrome coronavirus 2","32652161","Clin. Chim. Acta",Article,"Final",,Scopus,2-s2.0-85087899824
"Revannasiddaiah S., Kumar Devadas S., Palassery R., Kumar Pant N., Maka V.V.","37108368000;56707050600;54883944700;57217054826;56021481400;","A potential role for cyclophosphamide in the mitigation of acute respiratory distress syndrome among patients with SARS-CoV-2",2020,"Medical Hypotheses","144",, 109850,"","",,,"10.1016/j.mehy.2020.109850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085977491&doi=10.1016%2fj.mehy.2020.109850&partnerID=40&md5=4eab603b7353fff686bf551c3a72d419","While humanity struggles to develop a vaccine against SARS-CoV-2, it is imperative that effective and affordable therapeutic strategies be evolved. Since a majority of the SARS-CoV-2 deaths are due to acute respiratory distress syndrome (ARDS), a strategy to mitigate the same could save countless lives. Since SARS-CoV-2 related ARDS has a strong immunological component, many investigators are utilizing monoclonal antibodies against IL-6, TNF-alpha and CCR5. However, targeting a single cytokine with an expensive monoclonal antibody could be a less pragmatic approach. We propose the use of cyclophosphamide as an immunomodulator, given its proven role in various settings including autoimmune diseases, and in the post-haploidentical stem cell transplant. Cyclophosphamide could deplete cytotoxic and effector T cell populations while relatively sparing the regulatory T cells (Tregs). Cyclophosphamide could tip the balance away from the overtly pro-inflammatory and could be a less expensive and effective alternative to the currently investigated monoclonal antibodies. © 2020 Elsevier Ltd","ARDS; COVID; Cyclophosphamide; SARS-CoV-2; Treg","cyclophosphamide; adult respiratory distress syndrome; allogeneic stem cell transplantation; Article; cytotoxicity; dose response; effector cell; graft rejection; graft versus host reaction; human; immunotherapy; nonhuman; regulatory T lymphocyte; respiratory distress syndrome; risk evaluation and mitigation strategy; Severe acute respiratory syndrome coronavirus 2; T cell depletion","32526511","Med. Hypotheses",Article,"Final",Open Access,Scopus,2-s2.0-85085977491
"Yamamoto N., Bauer G.","57218202586;7402067591;","Apparent difference in fatalities between Central Europe and East Asia due to SARS-COV-2 and COVID-19: Four hypotheses for possible explanation",2020,"Medical Hypotheses","144",, 110160,"","",,,"10.1016/j.mehy.2020.110160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089216127&doi=10.1016%2fj.mehy.2020.110160&partnerID=40&md5=f6e038e9eed60d6494490218ace188a3","The comparison of the numbers of cases and deaths due to SARS-CoV-2/COVID-19 shows that people in Central Europe are much more affected than people in East Asia where the disease originally occurred. Trying to explain this difference, this communication presents four hypotheses that propose the following reasons for the observed findings: 1) Differences in social behaviors and cultures of people in the two regions; 2) Possible outbreak of virulent viruses in Central Europe due to multiple viral infection, and the involvement of immuno-virological factors associated with it, 3) Possibility of corona resistance gene mutation occurring among East Asians as a result of long-term co-evolution of virus and host, and 4) possible involvement of hygienic factors. Direct or indirect supportive evidences for each one of our hypotheses are presented and experimental approaches for their evaluation are discussed. Finally, we suggest that the dynamics of the pandemic also shows that the problems of the new coronavirus can be overcome due to people's awareness of the epidemics, rational viral diagnostics and a high level of medical care. © 2020 The Authors","ACE1; ACE2; Asia; COVID-19; Death toll difference; Europe; Resistance gene mutation; SARS-CoV-2; Social behaviors; Virulent viruses","angiotensin converting enzyme 2; dipeptidyl carboxypeptidase; Article; Asia; awareness; China; coronavirus disease 2019; cultural factor; diagnostic test; East Asian; epidemic; Europe; evolution; France; gene mutation; Germany; health care quality; human; immune response; infection resistance; Italy; Japan; mortality rate; personal hygiene; Severe acute respiratory syndrome coronavirus 2; social behavior; social distance; South Korea; Spain; Taiwan; United Kingdom; United States; virus gene",,"Med. Hypotheses",Article,"Final",Open Access,Scopus,2-s2.0-85089216127
"Hemmati S., Behzadipour Y., Haddad M.","8638403000;57212033437;57218292168;","Decoding the proteome of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) for cell-penetrating peptides involved in pathogenesis or applicable as drug delivery vectors",2020,"Infection, Genetics and Evolution","85",, 104474,"","",,,"10.1016/j.meegid.2020.104474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088631531&doi=10.1016%2fj.meegid.2020.104474&partnerID=40&md5=16823d69e2efdacdaa9d64191be5140f","Synthetic or natural derived cell-penetrating peptides (CPPs) are vastly investigated as tools for the intracellular delivery of membrane-impermeable molecules. As viruses are intracellular obligate parasites, viral originated CPPs have been considered as suitable intracellular shuttling vectors for cargo transportation. A total of 310 CPPs were identified in the proteome of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Screening the proteome of the cause of COVID-19 reveals that SARS-CoV-2 CPPs (SCV2-CPPs) span the regions involved in replication, protein-nucleotide and protein-protein interaction, protein-metal ion interaction, and stabilization of homo/hetero-oligomers. However, to find the most appropriate peptides as drug delivery vectors, one might face several hurdles. Computational analyses showed that 94.3% of the identified SCV2-CPPs are non-toxins, and 38% are neither antigenic nor allergenic. Interestingly, 36.70% of SCV2-CPPs were resistant to all four groups of protease families. Nearly 1/3 of SCV2-CPPs had sufficient inherent or induced helix and sheet conformation leading to increased uptake efficiency. Heliquest lipid-binding discrimination factor revealed that 44.30% of the helical SCV2-CPPs are lipid-binding helices. Although Cys-rich derived CPPs of helicase (NSP13) can potentially fold into a cyclic conformation in endosomes with a higher rate of endosomal release, the most optimal SCV2-CPP candidates as vectors for drug delivery were SCV2-CPP118, SCV2-CPP119, SCV2-CPP122, and SCV2-CPP129 of NSP12 (RdRp). Ten experimentally validated viral-derived CPPs were also used as the positive control to check the scalability and reliability of our protocol in SCV2-CPP retrieval. Some peptides with a cell-penetration ability known as bioactive peptides are adopted as biotherapeutics themselves. Therefore, 59.60%, 29.63%, and 32.32% of SCV2-CPPs were identified as potential antibacterial, antiviral, and antifungals, respectively. While 63.64% of SCV2-CPPs had immuno-modulatory properties, 21.89% were recognized as anti-cancers. Conclusively, the workflow of this study provides a platform for profound screening of viral proteomes as a rich source of biotherapeutics or drug delivery carriers. © 2020 Elsevier B.V.","Bioactive peptide; Cell-penetrating peptide; Coronavirus; COVID-19; Drug delivery; SARS-CoV-2","cell penetrating peptide; M protein; membrane protein; nonstructural protein 1; nonstructural protein 10; nonstructural protein 11; nonstructural protein 12; nonstructural protein 13; nonstructural protein 14; nonstructural protein 15; nonstructural protein 16; nonstructural protein 2; nonstructural protein 3; nonstructural protein 4; nonstructural protein 5; nonstructural protein 6; nonstructural protein 7; nonstructural protein 8; nonstructural protein 9; nucleocapsid protein; protein ORF10; protein ORF3a; protein ORF6; protein ORF7a; protein ORF8; proteome; unclassified drug; viral protein; virus envelope protein; virus spike protein; Article; controlled study; drug delivery system; endosome; nonhuman; nucleotide sequence; peptide analysis; physical chemistry; prediction; priority journal; protein conformation; protein interaction; protein secondary structure; proteomics; Severe acute respiratory syndrome coronavirus 2; virus pathogenesis; virus replication; virus transcription","32712315","Infec. Genet. Evol.",Article,"Final",Open Access,Scopus,2-s2.0-85088631531
"Uzzan M., Corcos O., Martin J.C., Treton X., Bouhnik Y.","55540993600;14059943200;55277671700;15763566100;7005356240;","Why is SARS-CoV-2 infection more severe in obese men? The gut lymphatics – Lung axis hypothesis",2020,"Medical Hypotheses","144",, 110023,"","",,,"10.1016/j.mehy.2020.110023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086995737&doi=10.1016%2fj.mehy.2020.110023&partnerID=40&md5=3d4277558306a71b5d8141f6b3708ed1","Consistent observations report increased severity of SARS-CoV-2 infection in overweight men with cardiovascular factors. As the visceral fat possesses an intense immune activity, is involved in metabolic syndrome and is at the crossroad between the intestines, the systemic circulation and the lung, we hypothesized that it plays a major role in severe forms of SARS-CoV-2 infection. SARS-CoV2 presents the ability to infect epithelial cells of the respiratory tract as well as the intestinal tract. Several factors may increase intestinal permeability including direct enterocyte damage by SARS-CoV2, systemic inflammatory response syndrome (SIRS) and epithelial ischemia secondary to SARS-CoV2- associated endothelial dysfunction. This increase permeability further leads to translocation of microbial components such as MAMPs (microbial-associated molecular pattern), triggering an inflammatory immune response by TLR-expressing cells of the mesentery fat (mostly macrophages and adipocytes). The pro-inflammatory cytokines produced by the mesentery fat mediates systemic inflammation and aggravate acute respiratory distress syndrome (ARDS) through the mesenteric lymph drainage. © 2020 Elsevier Ltd",,"granulocyte colony stimulating factor; granulocyte macrophage colony stimulating factor; interleukin 6; pathogen associated molecular pattern; STAT3 protein; suppressor of cytokine signaling 3; toll like receptor; tumor necrosis factor; adipocyte; adult respiratory distress syndrome; Article; cell damage; coronavirus disease 2019; cytokine production; disease severity; endothelial dysfunction; epithelium cell; human; immune response; inflammation; intestine cell; intestine lymphatic tissue; intestine mucosa permeability; intra-abdominal fat; ischemia; lung circulation; lymphatic drainage; macrophage; mesenteric fat; mesentery lymph node; metabolic syndrome X; obesity; protein expression; respiratory epithelium; sex difference; systemic inflammatory response syndrome",,"Med. Hypotheses",Article,"Final",Open Access,Scopus,2-s2.0-85086995737
